trip_id,vehicle_id,segment_idx,timestamp,distance_km,speed_kmh,temperature_c,inclination_rad,time_increment_s,soc_start_pct,soc_end_pct,soc_drop_pp,cum_soc_drop_pp,is_charging,charge_price_usd_kwh,grid_intensity_kg_kwh,route_type
T0003,V11,8,2024-11-05T07:58:04Z,0.60,25.0,3.4,0.030,86.4,93.04,92.79,0.25,3.01,0,0.00,0.00,urban
T0003,V11,9,2024-11-05T07:59:30Z,0.75,35.0,3.3,0.010,77.1,92.79,92.51,0.28,3.29,0,0.00,0.00,urban
T0003,V11,10,2024-11-05T08:00:47Z,0.90,45.0,3.2,-0.005,72.0,92.51,92.20,0.31,3.60,0,0.00,0.00,suburban
T0003,V11,11,2024-11-05T08:02:00Z,1.10,55.0,3.1,-0.015,72.0,92.20,91.85,0.35,3.95,0,0.00,0.00,suburban
T0003,V11,12,2024-11-05T08:03:12Z,1.30,65.0,3.0,-0.020,72.0,91.85,91.46,0.39,4.34,0,0.00,0.00,suburban
T0003,V11,13,2024-11-05T08:04:24Z,1.50,75.0,2.9,-0.015,72.0,91.46,91.04,0.42,4.76,0,0.00,0.00,suburban
T0003,V11,14,2024-11-05T08:05:36Z,1.70,85.0,2.8,-0.010,72.0,91.04,90.60,0.44,5.20,0,0.00,0.00,suburban
T0003,V11,15,2024-11-05T08:06:48Z,1.90,95.0,2.7,-0.005,72.0,90.60,90.14,0.46,5.66,0,0.00,0.00,highway
T0003,V11,16,2024-11-05T08:08:00Z,2.10,105.0,2.6,0.000,72.0,90.14,89.66,0.48,6.14,0,0.00,0.00,highway
T0003,V11,17,2024-11-05T08:09:12Z,2.30,115.0,2.5,0.005,72.0,89.66,89.16,0.50,6.64,0,0.00,0.00,highway
T0003,V11,18,2024-11-05T08:10:24Z,2.50,120.0,2.4,0.010,75.0,89.16,88.62,0.54,7.18,0,0.00,0.00,highway
T0003,V11,19,2024-11-05T08:11:39Z,2.40,115.0,2.3,0.008,75.1,88.62,88.09,0.53,7.71,0,0.00,0.00,highway
T0003,V11,20,2024-11-05T08:12:54Z,2.30,110.0,2.2,0.006,75.3,88.09,87.57,0.52,8.23,0,0.00,0.00,highway
T0003,V11,21,2024-11-05T08:14:09Z,2.20,105.0,2.1,0.004,75.4,87.57,87.07,0.50,8.73,0,0.00,0.00,highway
T0003,V11,22,2024-11-05T08:15:24Z,2.10,100.0,2.0,0.002,75.6,87.07,86.58,0.49,9.22,0,0.00,0.00,highway
T0003,V11,23,2024-11-05T08:16:39Z,2.00,95.0,1.9,0.000,75.8,86.58,86.11,0.47,9.69,0,0.00,0.00,highway
T0003,V11,24,2024-11-05T08:17:54Z,1.90,90.0,1.8,-0.005,76.0,86.11,85.66,0.45,10.14,1,0.38,0.19,highway
